fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
1,1,1,-2219.311789795338,-3892.822932839039,,,,910.0,84.257
30,1,30,-2190.311789795338,-3863.822932839039,,,,897.0,84.252
31,1,31,-2189.311789795338,-3862.822932839039,,,,897.0,84.245
32,1,32,-2188.311789795338,-3861.822932839039,,,,897.0,84.237
33,1,33,-2187.311789795338,-3860.822932839039,,,,896.0,84.228
34,1,34,-2186.311789795338,-3859.822932839039,,,,896.0,84.219
35,1,35,-2185.311789795338,-3858.822932839039,,,,898.0,84.211
36,1,36,-2184.311789795338,-3857.822932839039,,,,898.0,84.203
37,1,37,-2183.311789795338,-3856.822932839039,,,,898.0,84.196
38,1,38,-2182.311789795338,-3855.822932839039,,,,897.0,84.192
39,1,39,-2181.311789795338,-3854.822932839039,,,,897.0,84.189
40,1,40,-2180.311789795338,-3853.822932839039,,,,898.0,84.187
43,1,43,-2177.311789795338,-3850.822932839039,,,,900.0,84.185
44,1,44,-2176.311789795338,-3849.822932839039,,,,904.0,84.181
45,1,45,-2175.311789795338,-3848.822932839039,,,,909.0,84.172
46,1,46,-2174.311789795338,-3847.822932839039,,,,910.0,84.159
47,1,47,-2173.311789795338,-3846.822932839039,,,,911.0,84.144
48,1,48,-2172.311789795338,-3845.822932839039,,,,912.0,84.129
49,1,49,-2171.311789795338,-3844.822932839039,,,,912.0,84.117
50,1,50,-2170.311789795338,-3843.822932839039,,,,911.0,84.113
82,1,82,-2138.311789795338,-3811.822932839039,,,,950.0,84.108
83,1,83,-2137.311789795338,-3810.822932839039,,,,952.0,84.104
84,1,84,-2136.311789795338,-3809.822932839039,,,,953.0,84.103
96,1,96,-2124.311789795338,-3797.822932839039,,,,965.0,84.094
97,1,97,-2123.311789795338,-3796.822932839039,,,,964.0,84.078
98,1,98,-2122.311789795338,-3795.822932839039,,,,965.0,84.066
99,1,99,-2121.311789795338,-3794.822932839039,,,,967.0,84.057
100,1,100,-2120.311789795338,-3793.822932839039,,,,969.0,84.052
101,1,101,-2119.311789795338,-3792.822932839039,,,,972.0,84.049
117,1,117,-2103.311789795338,-3776.822932839039,,,,988.0,84.041
118,1,118,-2102.311789795338,-3775.822932839039,,,,988.0,84.03
119,1,119,-2101.311789795338,-3774.822932839039,,,,989.0,84.024
120,1,120,-2100.311789795338,-3773.822932839039,,,,991.0,84.021
134,1,134,-2086.311789795338,-3759.822932839039,,,,1002.0,84.01
135,1,135,-2085.311789795338,-3758.822932839039,,,,1004.0,83.999
136,1,136,-2084.311789795338,-3757.822932839039,,,,1005.0,83.992
137,1,137,-2083.311789795338,-3756.822932839039,,,,1008.0,83.991
151,1,151,-2069.311789795338,-3742.822932839039,,,,1015.0,83.98
152,1,152,-2068.311789795338,-3741.822932839039,,,,1016.0,83.967
153,1,153,-2067.311789795338,-3740.822932839039,,,,1017.0,83.958
154,1,154,-2066.311789795338,-3739.822932839039,,,,1017.0,83.955
177,1,177,-2043.311789795338,-3716.822932839039,,,,1038.0,83.954
178,1,178,-2042.311789795338,-3715.822932839039,,,,1040.0,83.95
181,1,181,-2039.311789795338,-3712.822932839039,,,,1046.0,83.947
182,1,182,-2038.311789795338,-3711.822932839039,,,,1048.0,83.943
183,1,183,-2037.311789795338,-3710.822932839039,,,,1052.0,83.935
184,1,184,-2036.311789795338,-3709.822932839039,,,,1056.0,83.923
185,1,185,-2035.311789795338,-3708.822932839039,,,,1058.0,83.909
