fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
1,0,1,-1709.581123471992,-5149.841361862378,,,,884.0,84.598
2,0,2,-1708.581123471992,-5148.841361862378,,,,882.0,84.595
3,0,3,-1707.581123471992,-5147.841361862378,,,,879.0,84.589
4,0,4,-1706.581123471992,-5146.841361862378,,,,876.0,84.582
5,0,5,-1705.581123471992,-5145.841361862378,,,,875.0,84.573
6,0,6,-1704.581123471992,-5144.841361862378,,,,874.0,84.563
7,0,7,-1703.581123471992,-5143.841361862378,,,,877.0,84.55
8,0,8,-1702.581123471992,-5142.841361862378,,,,878.0,84.54
9,0,9,-1701.581123471992,-5141.841361862378,,,,881.0,84.528
10,0,10,-1700.581123471992,-5140.841361862378,,,,883.0,84.518
11,0,11,-1699.581123471992,-5139.841361862378,,,,883.0,84.506
12,0,12,-1698.581123471992,-5138.841361862378,,,,884.0,84.493
13,0,13,-1697.581123471992,-5137.841361862378,,,,885.0,84.479
14,0,14,-1696.581123471992,-5136.841361862378,,,,885.0,84.466
15,0,15,-1695.581123471992,-5135.841361862378,,,,886.0,84.451
16,0,16,-1694.581123471992,-5134.841361862378,,,,886.0,84.437
17,0,17,-1693.581123471992,-5133.841361862378,,,,888.0,84.424
18,0,18,-1692.581123471992,-5132.841361862378,,,,891.0,84.411
19,0,19,-1691.581123471992,-5131.841361862378,,,,890.0,84.399
20,0,20,-1690.581123471992,-5130.841361862378,,,,888.0,84.386
21,0,21,-1689.581123471992,-5129.841361862378,,,,889.0,84.374
22,0,22,-1688.581123471992,-5128.841361862378,,,,889.0,84.36
23,0,23,-1687.581123471992,-5127.841361862378,,,,888.0,84.349
24,0,24,-1686.581123471992,-5126.841361862378,,,,890.0,84.338
25,0,25,-1685.581123471992,-5125.841361862378,,,,889.0,84.327
26,0,26,-1684.581123471992,-5124.841361862378,,,,888.0,84.315
27,0,27,-1683.581123471992,-5123.841361862378,,,,889.0,84.3
28,0,28,-1682.581123471992,-5122.841361862378,,,,887.0,84.286
29,0,29,-1681.581123471992,-5121.841361862378,,,,886.0,84.272
